City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Georgetown,MY,87.75,scattered clouds,5.4112,100.3354,Cititel Penang
3,Champerico,GT,76.93,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
5,Tecoanapa,MX,75.83,scattered clouds,16.5167,-98.75,Hotel Manglares
9,Bambous Virieux,MU,82.65,few clouds,-20.3428,57.7575,Casa Tia Villa
10,Sinnamary,GF,78.64,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
12,Souillac,MU,82.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Rikitea,PF,76.17,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Ambulu,ID,83.14,light rain,-8.345,113.6058,Hotel Ambulu Jember
26,Eyl,SO,84.06,broken clouds,7.9803,49.8164,Amiin Hotel
39,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Busselton,AU,85.01,scattered clouds,-33.65,115.3333,Observatory Guest House
52,Sur,OM,80.8,broken clouds,22.5667,59.5289,Sur Plaza Hotel
56,Matadi,CD,75.61,moderate rain,-5.8167,13.45,Hotel Vivi Palace
62,Kalmunai,LK,84.6,broken clouds,7.4167,81.8167,VS Villa
64,Sawakin,SD,80.4,broken clouds,19.1059,37.3321,فندق الدويم
66,Turbat,PK,80.6,few clouds,26.0023,63.044,Mubashar Quarters
77,Esperance,AU,82.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
80,Kavieng,PG,84.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
83,Namatanai,PG,84.92,light rain,-3.6667,152.4333,Seagulls Inn Namatani
84,Touros,BR,79.03,clear sky,-5.1989,-35.4608,INN NEW HORIZON
94,Cockburn Town,TC,78.8,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
96,Sumbe,AO,76.96,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
100,Mahebourg,MU,82.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Akyab,MM,82.4,clear sky,20.15,92.9,Hotel Memory
117,Victoria,HK,76.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
118,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
120,Loa Janan,ID,84.7,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
121,Bubaque,GW,82.89,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
125,Santa Rosa,PH,89.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
126,Fare,PF,81.18,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
135,Gouyave,GD,79.3,overcast clouds,12.1646,-61.7296,Rumboat Retreat
143,Anloga,GH,79.02,scattered clouds,5.7947,0.8973,Pin Drop Hotel
144,Sao Jose Da Coroa Grande,BR,76.19,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
151,Iquitos,PE,77.04,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
152,Manokwari,ID,83.79,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
153,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
155,Cuiaba,BR,78.73,clear sky,-15.5961,-56.0967,Getúllio Hotel
159,Bengkulu,ID,85.66,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
172,Ruwi,OM,80.29,scattered clouds,23.5996,58.5507,Al Falaj Hotel
178,Paka,MY,80.53,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
180,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
183,Dingle,PH,84.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
186,Batticaloa,LK,83.26,broken clouds,7.7102,81.6924,Grand Star Guest House
187,Butaritari,KI,82.35,broken clouds,3.0707,172.7902,Isles Sunset Lodge
188,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
193,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
197,Salgueiro,BR,77.07,light rain,-8.0742,-39.1192,Hotel Requinte
199,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
200,Acapulco,MX,76.21,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
205,Banjar,ID,85.86,overcast clouds,-8.19,114.9675,The Hamsa Resort
210,Ugoofaaru,MV,81.79,overcast clouds,5.6667,73.0,Ungoofaaru Inn
214,Ambon,ID,85.26,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
219,Alugan,PH,83.12,overcast clouds,12.2188,125.4808,JM Lodge
220,Dabra,IN,77.36,clear sky,25.9,78.3333,Pankaj Sharma House
221,Saint-Pierre,RE,83.88,light rain,-21.3393,55.4781,Lindsey Hôtel
223,Veraval,IN,83.46,clear sky,20.9,70.3667,Lords Inn Somnath
226,Isangel,VU,77.97,scattered clouds,-19.55,169.2667,Tanna Lodge
227,Garissa,KE,82.71,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
232,Lamu,KE,84.42,light rain,-2.2717,40.902,Lamu House
236,Sao Filipe,CV,77.09,clear sky,14.8961,-24.4956,Hotel Xaguate
241,Mareeba,AU,83.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
242,Macau,MO,76.71,clear sky,22.2006,113.5461,Grand Emperor Hotel
244,Gambela,ET,84.33,clear sky,8.25,34.5833,Solomon Debebe Hotel
248,Qui Nhon,VN,75.42,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
253,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
258,Nagaur,IN,80.33,clear sky,27.2,73.7333,Ranvas Nagaur
259,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
261,Wanning,CN,76.28,overcast clouds,18.8003,110.3967,Paradise Hotel
263,Bandarbeyla,SO,82.38,broken clouds,9.4942,50.8122,JABIR HOTEL
264,Catuday,PH,84.15,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
273,Kloulklubed,PW,84.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
274,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
278,Acarau,BR,79.99,scattered clouds,-2.8856,-40.12,castelo pizzaria
279,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
282,Samarai,PG,83.68,overcast clouds,-10.6167,150.6667,Nuli Sapi
284,Pundaguitan,PH,83.08,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
285,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
291,Hithadhoo,MV,81.36,broken clouds,-0.6,73.0833,Scoop Guest House
293,Lethem,GY,75.96,broken clouds,3.3803,-59.7968,Savannah Inn
295,Faanui,PF,81.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Dzaoudzi,YT,82.29,light rain,-12.7887,45.2699,Le Rocher
317,Puerto Escondido,MX,76.84,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
330,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
331,Simplicio Mendes,BR,75.02,overcast clouds,-7.8539,-41.9103,Fidalgo
335,Caraballeda,VE,80.67,few clouds,10.6112,-66.8522,Hotel 15 Letras
336,Poum,NC,80.38,clear sky,-20.2333,164.0167,Gîte kajeon
340,Tabuk,PH,81.73,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
351,Benguela,AO,77.23,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
355,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
