City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Samoded,RU,63.6083,40.5111,15.73,95,85,6.38,overcast clouds
1,Albany,US,42.6001,-73.9662,30.61,76,87,17.22,light snow
2,Georgetown,MY,5.4112,100.3354,87.75,70,40,4.61,scattered clouds
3,Champerico,GT,14.3,-91.9167,76.93,81,80,4.65,broken clouds
4,Mataura,NZ,-46.1927,168.8643,55.27,53,100,6.53,overcast clouds
5,Tecoanapa,MX,16.5167,-98.75,75.83,85,27,4.38,scattered clouds
6,Lebu,CL,-37.6167,-73.65,51.04,83,28,11.81,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,40.66,81,40,2.3,scattered clouds
8,Ostersund,SE,63.1792,14.6357,16.25,92,90,2.3,overcast clouds
9,Bambous Virieux,MU,-20.3428,57.7575,82.65,57,20,11.5,few clouds
10,Sinnamary,GF,5.3833,-52.95,78.64,87,99,9.75,overcast clouds
11,Chokurdakh,RU,70.6333,147.9167,-22.38,96,98,3.62,overcast clouds
12,Souillac,MU,-20.5167,57.5167,82.78,57,20,11.5,few clouds
13,Verkhnevilyuysk,RU,63.4453,120.3167,5.34,92,100,11.5,light snow
14,Jalu,LY,29.0331,21.5482,63.75,62,1,5.12,clear sky
15,Gat,IL,31.61,34.7642,56.08,53,56,1.77,broken clouds
16,Jamestown,US,42.097,-79.2353,29.52,80,90,12.66,light snow
17,Chernyshevskiy,RU,63.0128,112.4714,1.94,91,100,12.28,overcast clouds
18,Bluff,NZ,-46.6,168.3333,51.82,57,86,17.11,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,76.17,73,100,14.94,overcast clouds
20,Tasiilaq,GL,65.6145,-37.6368,28.56,76,97,8.57,overcast clouds
21,Opuwo,NA,-18.0607,13.84,72.36,18,35,4.05,scattered clouds
22,Lavrentiya,RU,65.5833,-171.0,-8.73,89,16,8.37,few clouds
23,Ambulu,ID,-8.345,113.6058,83.14,76,99,5.35,light rain
24,Dolgorukovo,RU,52.3195,38.3453,33.15,82,100,14.81,overcast clouds
25,Nemuro,JP,43.3236,145.575,37.83,58,70,28.9,broken clouds
26,Eyl,SO,7.9803,49.8164,84.06,63,62,12.84,broken clouds
27,Flinders,AU,-34.5833,150.8552,61.88,85,100,17.81,overcast clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,70.99,84,100,6.38,overcast clouds
29,Khatanga,RU,71.9667,102.5,-0.26,93,100,15.01,overcast clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,20.71,light snow
31,Carballo,ES,43.213,-8.691,47.62,84,81,17.09,light rain
32,Hobart,AU,-42.8794,147.3294,66.06,42,20,11.5,few clouds
33,Kutum,SD,14.2,24.6667,63.07,19,3,5.77,clear sky
34,Ponta Do Sol,PT,32.6667,-17.1,61.43,75,75,8.7,broken clouds
35,Clyde River,CA,70.4692,-68.5914,-5.57,84,59,5.75,broken clouds
36,Kindu,CD,-2.95,25.95,70.5,96,100,1.57,overcast clouds
37,Pacific Grove,US,36.6177,-121.9166,51.91,66,1,4.61,clear sky
38,Hermanus,ZA,-34.4187,19.2345,64.35,71,92,15.57,overcast clouds
39,Kapaa,US,22.0752,-159.319,76.98,73,40,9.22,scattered clouds
40,Virginia Beach,US,36.8529,-75.978,39.25,48,1,10.36,clear sky
41,Busselton,AU,-33.65,115.3333,85.01,31,46,7.81,scattered clouds
42,Deputatskiy,RU,69.3,139.9,-26.37,86,59,1.03,broken clouds
43,Magnitka,RU,55.3475,59.6961,28.02,69,100,16.13,overcast clouds
44,Grindavik,IS,63.8424,-22.4338,32.47,93,90,12.66,overcast clouds
45,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,8.05,broken clouds
46,Norman Wells,CA,65.282,-126.8329,-5.76,71,20,12.66,few clouds
47,Coquimbo,CL,-29.9533,-71.3436,60.53,82,90,5.75,overcast clouds
48,Cascais,PT,38.6979,-9.4215,51.15,74,25,21.27,scattered clouds
49,Ribeira Grande,PT,38.5167,-28.7,63.43,63,27,12.01,scattered clouds
50,Bongouanou,CI,6.6486,-4.1992,71.42,99,56,1.61,broken clouds
51,Barrow,US,71.2906,-156.7887,-16.58,69,1,5.75,clear sky
52,Sur,OM,22.5667,59.5289,80.8,52,76,12.5,broken clouds
53,Cidreira,BR,-30.1811,-50.2056,69.12,94,92,10.78,overcast clouds
54,New Norfolk,AU,-42.7826,147.0587,65.7,40,31,5.35,scattered clouds
55,Tinaquillo,VE,9.9186,-68.3047,69.57,96,52,3.65,broken clouds
