City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Skelleftea,SE,2021-11-23 19:42:32,64.7507,20.9528,35.01,69,75,1.01
1,New Norfolk,AU,2021-11-23 19:42:33,-42.7826,147.0587,60.66,74,100,2.1
2,Mar Del Plata,AR,2021-11-23 19:42:34,-38.0023,-57.5575,64.42,83,0,18.99
3,Iqaluit,CA,2021-11-23 19:38:55,63.7506,-68.5145,28.13,68,75,11.01
4,Lazaro Cardenas,MX,2021-11-23 19:42:34,17.9583,-102.2,83.1,69,11,8.59
5,Parkes,AU,2021-11-23 19:42:35,-33.1333,148.1833,65.35,88,100,1.99
6,Rikitea,PF,2021-11-23 19:32:47,-23.1203,-134.9692,76.66,82,23,15.3
7,Filingue,NE,2021-11-23 19:42:35,14.3521,3.3168,86.77,15,1,6.78
8,Hermanus,ZA,2021-11-23 19:33:56,-34.4187,19.2345,64.9,76,100,11.25
9,Hasaki,JP,2021-11-23 19:42:36,35.7333,140.8333,37.8,62,0,14.41
10,Chokurdakh,RU,2021-11-23 19:40:42,70.6333,147.9167,-25.17,99,97,6.08
11,Albany,US,2021-11-23 19:28:02,42.6001,-73.9662,36.45,52,18,5.01
12,Mataura,NZ,2021-11-23 19:42:37,-46.1927,168.8643,53.55,72,97,2.33
13,Bengkulu,ID,2021-11-23 19:34:55,-3.8004,102.2655,74.46,87,100,3.91
14,Kaka,TM,2021-11-23 19:42:38,37.3482,59.6143,51.94,44,46,0.09
15,Chuy,UY,2021-11-23 19:42:37,-33.6971,-53.4616,63.48,53,0,12.48
16,Porto Novo,BJ,2021-11-23 19:42:38,6.4965,2.6036,84.02,84,90,6.93
17,Punta Arenas,CL,2021-11-23 19:34:09,-53.15,-70.9167,53.71,50,20,36.82
18,Ushuaia,AR,2021-11-23 19:35:02,-54.8,-68.3,47.82,70,90,5.75
19,Puerto Ayora,EC,2021-11-23 19:32:49,-0.7393,-90.3518,78.76,73,30,11.12
20,Port Victoria,KE,2021-11-23 19:42:39,0.0939,33.9756,72.84,72,5,7.47
21,Cherskiy,RU,2021-11-23 19:42:40,68.75,161.3,-33.88,100,30,4.52
22,Peachtree City,US,2021-11-23 19:42:40,33.3968,-84.5958,57.47,23,1,1.01
23,Fairbanks,US,2021-11-23 19:39:00,64.8378,-147.7164,-0.44,57,40,5.75
24,Vrangel,RU,2021-11-23 19:42:41,42.7297,133.0839,24.75,58,93,23.2
25,Hobart,AU,2021-11-23 19:30:03,-42.8794,147.3294,60.03,89,0,5.75
26,Pevek,RU,2021-11-23 19:32:41,69.7008,170.3133,-20.79,98,17,2.98
27,Provideniya,RU,2021-11-23 19:36:56,64.3833,-173.3,9.09,67,1,8.12
28,Alyangula,AU,2021-11-23 19:42:42,-13.8483,136.4192,78.67,89,40,2.3
29,Willmar,US,2021-11-23 19:38:22,45.1219,-95.0433,57.15,30,1,10.36
30,Idrinskoye,RU,2021-11-23 19:42:43,54.3708,92.1358,14.27,96,72,3.69
31,Vila Praia De Ancora,PT,2021-11-23 19:42:43,41.811,-8.8526,54.1,67,17,17.78
